date,desc,amount,cat,Debits and credits,Balance
3/1/20,Direct debit to Telstra DDebit,-119.0,Expense - Phone & Internet,($119.00),"$2,158.72 "
3/1/20,Purchase The Bogey Hole Cafe Bronte NSW,-11.4,Personal - Coffee,($11.40),"$2,277.72 "
3/1/20,Purchase SPAR EXPRESS TERRIGAL TERRIGAL,-13.84,Personal - Groceries,($13.84),"$2,289.12 "
3/1/20,Purchase Fountain Cafe Alexandria AU,-15.5,Expense - Office Supplies,($15.50),"$2,302.96 "
2/1/20,Purchase DARRONS SEAFOOD PTY WAMBERAL,-145.6,Personal - Family,($145.60),"$2,318.46 "
2/1/20,Purchase PENGILLEYS FRUIT BA ERINA HEIGHTS,-33.14,Personal - Groceries,($33.14),"$2,464.06 "
1/1/20,Purchase BENJAMIN KWONG DUONG SYDNEY NSW,-115.0,Personal - Health & Wellbeing,($115.00),"$2,497.20 "
1/1/20,Purchase SQ *PINEAPPLES BY THE Surry Hills AUS,-29.0,Personal - Eating Out,($29.00),"$2,612.20 "
1/1/20,Purchase MEETUP ORG SUB 6M 6464426681 NY (transaction amount 108.83 USD),-156.1,Income - Greenups,($156.10),"$2,641.20 "
1/1/20,International transaction fees (crossborder fee AUD1.25 + intl fee AUD2.34),-3.59,Fees,($3.59),"$2,797.30 "
31/12/19,Purchase RITCHIES SUPA IGA ERINA HEIGHT AU,-25.73,Personal,($25.73),"$2,800.89 "
31/12/19,Purchase The George Waterloo NSW,-17.0,Personal - Drinking Out,($17.00),"$2,826.62 "
31/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-56.04,Personal - Groceries,($56.04),"$2,843.62 "
31/12/19,Purchase BLU AQUA KIOSK LILYFIELD NSW,-8.15,Personal - Jane,($8.15),"$2,899.66 "
30/12/19,Purchase Fratelli Alexandria Alexandria NSW,-207.49,Personal - Family,($207.49),"$2,907.81 "
27/12/19,Ryans Hotel 2 Thirroul 02AU - Your ATM fee refunded by ME,2.5,Fees,$2.50 ,"$3,115.30 "
27/12/19,Direct debit to SDN Redfern Chil,-313.01,Personal - Childcare,($313.01),"$3,112.80 "
27/12/19,ATM withdrawal Ryans Hotel 2 Thirroul 02AU,-150.0,Personal - Cash Out,($150.00),"$3,425.81 "
27/12/19,ATM operator fee Ryans Hotel 2 Thirroul 02AU,-2.5,Fees,($2.50),"$3,575.81 "
27/12/19,Purchase EVENT CINEMAS GEORGE SYDNEY,-18.0,Personal - Entertainment,($18.00),"$3,578.31 "
27/12/19,Purchase EVENT CINEMAS GEORGE SYDNEY,-18.0,Personal - Entertainment,($18.00),"$3,596.31 "
27/12/19,Purchase ALDI STORES - WATERLOO WATERLOO,-202.21,Personal - Groceries,($202.21),"$3,614.31 "
25/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-31.76,Personal - Groceries,($31.76),"$3,816.52 "
25/12/19,Purchase BENJAMIN KWONG DUONG SYDNEY NSW,-115.0,Personal - Health & Wellbeing,($115.00),"$3,848.28 "
25/12/19,Purchase BRICKFIELDS Chippendale NSW,-9.0,Personal - Eating Out,($9.00),"$3,963.28 "
25/12/19,Purchase BRICKFIELDS Chippendale NSW,-22.5,Personal - Eating Out,($22.50),"$3,972.28 "
25/12/19,Purchase GAMES PARADISE SYDNEY,-50.0,Personal - Family,($50.00),"$3,994.78 "
25/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-55.62,Personal - Groceries,($55.62),"$4,044.78 "
25/12/19,Purchase Pino Espresso Bar Waterloo NSW,-7.2,Personal - Coffee,($7.20),"$4,100.40 "
25/12/19,Purchase EZI*NCIE Fitness Ctr Redfern NSW,-107.31,Personal - Health & Wellbeing,($107.31),"$4,107.60 "
24/12/19,Purchase DYMOCKS SYDNEY SYDNEY AU,-79.93,Personal - Family,($79.93),"$4,214.91 "
24/12/19,Purchase DYMOCKS SYDNEY SYDNEY AU,-67.46,Expense - Office Supplies,($67.46),"$4,294.84 "
24/12/19,Purchase GOOGLE*GOOGLE SYDNEY AUS,-11.99,Expense - Subscriptions & Software Licences,($11.99),"$4,362.30 "
24/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-10.6,Personal - Groceries,($10.60),"$4,374.29 "
24/12/19,Purchase LIQUORLAND 3617 SYDNEY AUS,-22.5,Personal - Alcohol,($22.50),"$4,384.89 "
24/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-22.9,Personal - Groceries,($22.90),"$4,407.39 "
24/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-63.57,Personal - Groceries,($63.57),"$4,430.29 "
24/12/19,Purchase UNITED ROZELLE ROZELLE NSW,-88.0,Expense - Travel,($88.00),"$4,493.86 "
24/12/19,Purchase KMART 1155 BROADWAY AUS,-76.0,Personal - Family,($76.00),"$4,581.86 "
23/12/19,Transfer to Benjamin Ward BSB 112879 Account 099143271 RCPT: 3X8K9995LML4RYWT tfr to John and Wendy,-5000.0,Account Transfer (Out),"($5,000.00)","$4,657.86 "
23/12/19,Transfer to Skye Healey Ward and Benjamin Al BSB 944600 Account 000359484 RCPT: 3XT5G793GZM39D66 Mortgage tfr.,-2400.0,Mortgage,"($2,400.00)","$9,657.86 "
23/12/19,Purchase ALDI STORES - WATERLOO WATERLOO,-201.85,Personal - Groceries,($201.85),"$12,057.86 "
23/12/19,Transfer to Skye Healey Ward and Benjamin Al BSB 944600 Account 000359484 RCPT: 3XQWMM8SN7GTRR85 Arrears,-359.81,Mortgage,($359.81),"$12,259.71 "
22/12/19,ATM withdrawal WESTPACREDFERN OS REDFERN 2 AU,-300.0,Personal - Cash Out,($300.00),"$12,619.52 "
22/12/19,ATM withdrawal WESTPACREDFERN OS REDFERN 2 AU,-300.0,Personal - Cash Out,($300.00),"$12,919.52 "
22/12/19,Purchase THE TUDOR REDFERN REDFERN,-49.3,Personal - Drinking Out,($49.30),"$13,219.52 "
22/12/19,Purchase THE TUDOR REDFERN QPS REDFERN,-9.5,Personal - Drinking Out,($9.50),"$13,268.82 "
21/12/19,Purchase TIOS CERVECERIA Surry Hills NSW,-30.24,Personal - Drinking Out,($30.24),"$13,278.32 "
21/12/19,Purchase BENJAMIN KWONG DUONG SYDNEY NSW,-62.5,Personal - Health & Wellbeing,($62.50),"$13,308.56 "
21/12/19,Purchase TITLE 501 SURRY HILLS,-45.0,Personal - Family,($45.00),"$13,371.06 "
20/12/19,Purchase PAYPAL *CHEAPDOMAIN 4029357733 AUS,-41.8,Expense - Subscriptions & Software Licences,($41.80),"$13,416.06 "
19/12/19,Purchase Norfolk Hotel Redfern AU,-15.0,Personal - Alcohol,($15.00),"$13,457.86 "
19/12/19,Purchase ERSKINEVILLE CHEMIST ERSKINEVILLE NSW,-38.7,Personal - Health & Wellbeing,($38.70),"$13,472.86 "
19/12/19,Purchase OPORTO NEWTOWN NEWTOWN NSW,-50.75,Personal - Eating Out,($50.75),"$13,511.56 "
19/12/19,Purchase Fratelli Alexandria Alexandria NSW,-48.29,Personal - Eating Out,($48.29),"$13,562.31 "
19/12/19,Purchase PAYPAL *BOOKTOPIABO 4029357733 AUS,-71.15,Expense - Professional Development,($71.15),"$13,610.60 "
19/12/19,Purchase REDFERN AND CO OPERATI REDFERN,-49.0,Personal,($49.00),"$13,681.75 "
18/12/19,Purchase CHINESE NTH DUMPLING ALEXANDRIA NSW,-24.6,Personal - Entertainment,($24.60),"$13,730.75 "
18/12/19,Purchase GOLD CROSS PHARMACY REDFERN NSW,-11.3,Personal - Health & Wellbeing,($11.30),"$13,755.35 "
18/12/19,Purchase GURDYS Newtown NSW,-48.58,Personal - Drinking Out,($48.58),"$13,766.65 "
17/12/19,Purchase Enmore Theatre Pty Lt Enmore AU,-21.8,Personal - Entertainment,($21.80),"$13,815.23 "
17/12/19,Purchase Enmore Theatre Pty Lt Enmore AU,-9.8,Personal - Entertainment,($9.80),"$13,837.03 "
17/12/19,Purchase Enmore Theatre Pty Lt Enmore AU,-9.8,Personal - Entertainment,($9.80),"$13,846.83 "
17/12/19,Purchase Fountain St General Alexandria NSW,-85.0,Personal - Health & Wellbeing,($85.00),"$13,856.63 "
17/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-39.34,Personal - Groceries,($39.34),"$13,941.63 "
17/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-6.0,Personal - Groceries,($6.00),"$13,980.97 "
17/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-5.5,Personal - Groceries,($5.50),"$13,986.97 "
17/12/19,Purchase COPPOLA PIZZA REFERN NSW,-47.0,Personal - Family,($47.00),"$13,992.47 "
16/12/19,Refund PAYPAL *FY 4029357733 AUS,134.0,Personal - Family,$134.00 ,"$14,039.47 "
16/12/19,Purchase KMART 1155 BROADWAY AUS,-208.0,Personal - Family,($208.00),"$13,905.47 "
16/12/19,Purchase 151 Degree Dental Alexandria AU,-286.0,Personal - Health & Wellbeing,($286.00),"$14,113.47 "
15/12/19,Purchase TWG AT JOAN SUTHERLAND SYDNEY,-20.3,Personal - Drinking Out,($20.30),"$14,399.47 "
15/12/19,Purchase BURGER PROJECT GATEWAY SYDNEY,-40.0,Personal - Eating Out,($40.00),"$14,419.77 "
14/12/19,Purchase PAYPAL *EBAY PENG8888 4029357733 AUS,-18.29,Personal - Family,($18.29),"$14,459.77 "
14/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-57.49,Personal - Groceries,($57.49),"$14,478.06 "
14/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-9.3,Personal - Groceries,($9.30),"$14,535.55 "
14/12/19,Purchase PAYPAL *KMARTAUSTRA 4029357733 AUS,-417.58,Personal - Family,($417.58),"$14,544.85 "
13/12/19,BPAY Payment - BPAY Ext GenClr BILLER: 75556 CRN: 119479406397760 RCPT: MEB201912135937003391,-9646.33,ATO Payment,"($9,646.33)","$14,962.43 "
13/12/19,Direct debit to SDN Redfern Chil,-469.5,Personal - Childcare,($469.50),"$24,608.76 "
13/12/19,Transfer to Guangcai Zhang BSB 062184 Account 010158136 RCPT: 3X5DT6R3VRCC3HYY 48 Douglas st redfern,-160.0,Expense - Cleaners,($160.00),"$25,078.26 "
13/12/19,Purchase Bulletin Place The Rocks NSW,-49.48,Personal - Alcohol,($49.48),"$25,238.26 "
13/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-16.45,Personal - Groceries,($16.45),"$25,287.74 "
13/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-34.7,Personal - Groceries,($34.70),"$25,304.19 "
13/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-30.75,Personal - Groceries,($30.75),"$25,338.89 "
13/12/19,Purchase SHEEP 8 PTY LIMITED REDFERN NSW,-14.5,Personal - Alcohol,($14.50),"$25,369.64 "
13/12/19,Purchase SHEEP 8 PTY LIMITED REDFERN NSW,-55.0,Personal - Alcohol,($55.00),"$25,384.14 "
13/12/19,Purchase PAYPAL *EBAY MAYTEXINE 4029357733 AUS,-35.99,Personal - Family,($35.99),"$25,439.14 "
13/12/19,Purchase DAN MURPHYS 1879 ALEXANDRIA NSW,-249.9,Personal - Alcohol,($249.90),"$25,475.13 "
13/12/19,Purchase SAROVA PETROLEUM PTQPS ALEXANDRIA,-21.95,Expense - Travel,($21.95),"$25,725.03 "
13/12/19,Purchase ENERGYAUSTRALIA PTY LT MELBOURNE,-880.6,Expense - Utilities,($880.60),"$25,746.98 "
13/12/19,ATM withdrawal SYDNEY - 292 PITT ST,-200.0,Personal - Cash Out,($200.00),"$26,627.58 "
12/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-8.35,Personal - Groceries,($8.35),"$26,827.58 "
12/12/19,Purchase PAYPAL *FY 4029357733 AUS,-158.0,Personal - Family,($158.00),"$26,835.93 "
12/12/19,Refund PAYPAL *FY 4029357733 AUS,24.0,Personal - Family,$24.00 ,"$26,993.93 "
12/12/19,Purchase Fountain Cafe Alexandria AU,-21.0,Expense - Office Supplies,($21.00),"$26,969.93 "
11/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-8.31,Personal - Groceries,($8.31),"$26,990.93 "
11/12/19,Purchase BUNNINGS 370000 ALEXANDRIA,-33.82,Personal - House,($33.82),"$26,999.24 "
11/12/19,Purchase EZI*NCIE Fitness Ctr Redfern NSW,-107.31,Personal - Health & Wellbeing,($107.31),"$27,033.06 "
10/12/19,Purchase CHEMIST WAREHOUSE SURREY HILLS AU,-46.63,Personal - Health & Wellbeing,($46.63),"$27,140.37 "
10/12/19,Purchase Yullis Surry Hills AU,-28.5,Expense - Meeting,($28.50),"$27,187.00 "
10/12/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-10.39,Personal - Groceries,($10.39),"$27,215.50 "
10/12/19,Purchase Omafiets Dutch Bicycl Redfern NSW,-10.0,Expense - Travel,($10.00),"$27,225.89 "
10/12/19,Purchase DAN MURPHYS 1879 ALEXANDRIA NSW,-15.99,Personal - Alcohol,($15.99),"$27,235.89 "
10/12/19,Purchase WOOLWORTHS 1050 ALEXANDRIA NSW,-33.99,Personal - Groceries,($33.99),"$27,251.88 "
10/12/19,Purchase WOOLWORTHS 1050 ALEXANDRIA NSW,-5.0,Personal - Groceries,($5.00),"$27,285.87 "
8/12/19,Purchase DISNEY PLUS RICHMOND SA,-8.99,Expense - Subscriptions & Software Licences,($8.99),"$27,290.87 "
8/12/19,Purchase BSRF PTY LTD REDFERN,-57.0,UNKNOWN,($57.00),"$27,299.86 "
7/12/19,Purchase DAN MURPHYS 1879 ALEXANDRIA NSW,-64.9,Personal - Alcohol,($64.90),"$27,356.86 "
7/12/19,Purchase Redfern DDS Redfern NSW,-19.19,UNKNOWN,($19.19),"$27,421.76 "
7/12/19,Purchase GOLD CROSS PHARMACY REDFERN NSW,-31.9,Personal - Health & Wellbeing,($31.90),"$27,440.95 "
5/12/19,Purchase WOOLWORTHS 1474 REDFERN AU (purchase of 14.80 AUD + cashout of 200.00 AUD),-214.8,Personal - Cash Out,($214.80),"$27,472.85 "
5/12/19,Purchase WOOLWORTHS 1474 REDFERN AU,-67.15,Personal - Groceries,($67.15),"$27,687.65 "
5/12/19,Purchase Fountain St General Alexandria NSW,-85.0,Personal - Health & Wellbeing,($85.00),"$27,754.80 "
5/12/19,Purchase PAYPAL *MICROSOFT OFFI 4029357733 AUS,-13.0,Expense - Subscriptions & Software Licences,($13.00),"$27,839.80 "
4/12/19,Purchase Redfern DDS Redfern NSW,-63.75,Personal - Health & Wellbeing,($63.75),"$27,852.80 "
4/12/19,Purchase THE TUDOR REDFERN QPS REDFERN,-21.99,Personal - Drinking Out,($21.99),"$27,916.55 "
4/12/19,Purchase Fountain Cafe Alexandria AU,-14.5,Expense - Office Supplies,($14.50),"$27,938.54 "
3/12/19,Purchase WOOLWORTHS 1474 REDFERN AU,-110.02,Personal - Groceries,($110.02),"$27,953.04 "
3/12/19,Purchase PHILLIPS FOOTE PTY SYDNEY NSW,-20.5,Personal - Drinking Out,($20.50),"$28,063.06 "
3/12/19,Purchase MUSEUM OF CONTEMP THE ROCKS NSW,-40.0,Personal - Drinking Out,($40.00),"$28,083.56 "
2/12/19,Purchase Fountain Cafe Alexandria AU,-21.5,Expense - Office Supplies,($21.50),"$28,123.56 "
1/12/19,Purchase Gelatissimo Balmain 2 Balmain NSW,-15.0,Personal - Jane,($15.00),"$28,145.06 "
1/12/19,Purchase SQ *MUSEUM OF CONTEMPO The Rocks AUS,-27.0,Personal - Drinking Out,($27.00),"$28,160.06 "
1/12/19,Purchase BODYMINDLIFE GRUP PL SURRY HILLS NSW,-10.0,Personal - Health & Wellbeing,($10.00),"$28,187.06 "
1/12/19,Purchase NCIE REDFERN NSW,-8.1,Personal - Health & Wellbeing,($8.10),"$28,197.06 "
1/12/19,Purchase THE TUDOR REDFERN QPS REDFERN,-31.3,Personal - Drinking Out,($31.30),"$28,205.16 "
1/12/19,Purchase THE TUDOR REDFERN QPS REDFERN,-16.0,Personal - Drinking Out,($16.00),"$28,236.46 "
30/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-41.87,Personal - Groceries,($41.87),"$28,252.46 "
30/11/19,Purchase CITYOFSYDNEY PARKING SYDNEY,-6.4,Expense - Travel - Parking,($6.40),"$28,294.33 "
30/11/19,Purchase LUMI CAFE GROUP SURRY HILLS NSW,-8.5,Personal - Skye,($8.50),"$28,300.73 "
30/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-32.88,Personal - Groceries,($32.88),"$28,309.23 "
30/11/19,Purchase COPPOLA PIZZA REFERN NSW,-68.0,Personal - Entertainment,($68.00),"$28,342.11 "
30/11/19,Purchase TICKETEK PTY LTD MOB SYDNEY,-145.1,Personal - Entertainment,($145.10),"$28,410.11 "
30/11/19,Purchase THE TUDOR REDFERN QPS REDFERN,-24.99,Personal - Alcohol,($24.99),"$28,555.21 "
30/11/19,Purchase CAMP AUSTRALIA PTY LTD GLEN IRIS VIC,-202.65,Personal - Childcare,($202.65),"$28,580.20 "
29/11/19,ATM withdrawal WESTPACREDFERN OS REDFERN 2 AU,-200.0,Personal - Cash Out,($200.00),"$28,782.85 "
29/11/19,Direct credit from TMRW Music Pty L TMRW MUSIC,25140.0,Income,"$25,140.00 ","$28,982.85 "
29/11/19,Direct debit to SDN Redfern Chil,-782.5,Personal - Childcare,($782.50),"$3,842.85 "
28/11/19,Direct debit to Telstra DDebit,-119.84,Expense - Phone & Internet,($119.84),"$4,625.35 "
27/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-71.1,Personal - Groceries,($71.10),"$4,745.19 "
27/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-40.47,Personal - Groceries,($40.47),"$4,816.29 "
27/11/19,Purchase ULUWATU BLUE STANWELL PARK NSW,-4.5,Personal - Coffee,($4.50),"$4,856.76 "
27/11/19,Purchase ULUWATU BLUE STANWELL PARK NSW,-14.0,Personal - Coffee,($14.00),"$4,861.26 "
27/11/19,Purchase EZI*NCIE Fitness Ctr Redfern NSW,-107.31,Personal - Health & Wellbeing,($107.31),"$4,875.26 "
27/11/19,Transfer to Guangcai Zhang BSB 062184 Account 010158136 RCPT: 3X7F49S76Y4R3M3Q 48 Douglas st redfern,-190.0,Expense - Cleaners,($190.00),"$4,982.57 "
26/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-52.32,Personal - Groceries,($52.32),"$5,172.57 "
25/11/19,Purchase DELAWARE NORTH COMPANI MOORE PARK,-17.3,Personal - Eating Out,($17.30),"$5,224.89 "
25/11/19,Purchase ALDI STORES - BROADWAY BROADWAY,-158.77,Income - Greenups,($158.77),"$5,242.19 "
24/11/19,Purchase MASDOR PTY LTD ERSKINEVILLE,-52.6,Expense - Travel,($52.60),"$5,400.96 "
23/11/19,Purchase DECATHLON (AUSTRALIA TEMPE NSW,-87.0,Personal,($87.00),"$5,453.56 "
23/11/19,Purchase Redfern DDS Redfern NSW,-17.69,UNKNOWN,($17.69),"$5,540.56 "
23/11/19,Purchase CHRISTIAN RALSTON CLOVELLY NSW,-440.0,Expense - Professional Development,($440.00),"$5,558.25 "
23/11/19,Purchase DAN MURPHYS 1879 ALEXANDRIA NSW,-49.85,Personal - Alcohol,($49.85),"$5,998.25 "
23/11/19,Purchase HERO SUSHI BROADWAY BROADWAY NSW,-9.8,Personal - Eating Out,($9.80),"$6,048.10 "
23/11/19,Refund KMART ONLINE 03 AUS,44.0,Personal - Family,$44.00 ,"$6,057.90 "
23/11/19,Purchase KMART 1155 BROADWAY AUS,-110.0,Personal - Family,($110.00),"$6,013.90 "
22/11/19,Purchase 151 Degree Dental Alexandria AU,-124.3,Personal - Health & Wellbeing,($124.30),"$6,123.90 "
22/11/19,Purchase TRANSPORTFORNSW OPAL CHIPPENDALE AU,-40.0,Expense - Travel,($40.00),"$6,248.20 "
22/11/19,Purchase SMP*Zaida Cafe Pty Ltd Surry Hills AUS,-25.0,Expense - Meeting,($25.00),"$6,288.20 "
22/11/19,Refund Howards Storage World Moore Park AU,110.0,Expense - Office Supplies,$110.00 ,"$6,313.20 "
20/11/19,Purchase WOOLWORTHS 1474 REDFERN AU,-70.8,Personal - Groceries,($70.80),"$6,203.20 "
20/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-22.6,Personal - Groceries,($22.60),"$6,274.00 "
20/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-37.0,Personal - Groceries,($37.00),"$6,296.60 "
20/11/19,Purchase POWERHOUSE MUSEUM ULTIMO,-14.9,Personal - Family,($14.90),"$6,333.60 "
18/11/19,Purchase WOOLWORTHS 1474 REDFERN AU (purchase of 57.14 AUD + cashout of 100.00 AUD),-157.14,Personal - Cash Out,($157.14),"$6,348.50 "
18/11/19,Purchase THE TUDOR REDFERN REDFERN,-38.0,Personal - Drinking Out,($38.00),"$6,505.64 "
18/11/19,Purchase THE TUDOR REDFERN QPS REDFERN,-12.0,Personal - Drinking Out,($12.00),"$6,543.64 "
18/11/19,Purchase Omafiets Dutch Bicycl Redfern AU,-15.0,Expense - Travel,($15.00),"$6,555.64 "
18/11/19,Direct credit from HEALEY WARD SHW mortgage,1500.0,Account Transfer (In),"$1,500.00 ","$6,570.64 "
17/11/19,Purchase BREADFERN PTY LTD REDFERN,-19.0,Personal - Coffee,($19.00),"$5,070.64 "
16/11/19,Purchase WOOLWORTHS 1474 REDFERN AU (purchase of 53.41 AUD + cashout of 200.00 AUD),-253.41,Personal - Cash Out,($253.41),"$5,089.64 "
16/11/19,Purchase Omafiets Dutch Bicycl Redfern NSW,-238.95,Expense - Travel,($238.95),"$5,343.05 "
15/11/19,Direct debit to SDN Redfern Chil,-839.17,Personal - Childcare,($839.17),"$5,582.00 "
15/11/19,Transfer to Guangcai Zhang BSB 062184 Account 010158136 RCPT: 3XPYQG6FGSL3GFQ5 48 Douglas st redfern,-160.0,Expense - Cleaners,($160.00),"$6,421.17 "
15/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-62.36,Personal - Groceries,($62.36),"$6,581.17 "
15/11/19,Purchase UNI OF SYDNEY UNIN UNI OF SYDNEY NSW,-16.0,Personal,($16.00),"$6,643.53 "
15/11/19,Purchase AMAZON MKTPLC AU SYDNEY SOUTH NSW,-9.98,Personal - Entertainment,($9.98),"$6,659.53 "
15/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-43.47,Personal - Groceries,($43.47),"$6,669.51 "
15/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-20.0,Personal - Groceries,($20.00),"$6,712.98 "
15/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-17.34,Personal - Groceries,($17.34),"$6,732.98 "
15/11/19,Purchase CAMP AUSTRALIA PTY LTD GLEN IRIS VIC,-246.6,Personal - Childcare,($246.60),"$6,750.32 "
13/11/19,Purchase SMP*Zaida Cafe Pty Ltd Surry Hills AUS,-15.0,Personal - Lunch,($15.00),"$6,996.92 "
13/11/19,Purchase GM CABS PTY LTD MASCOT,-14.7,Expense - Travel - Taxis,($14.70),"$7,011.92 "
13/11/19,Purchase EZI*NCIE Fitness Ctr Redfern NSW,-107.31,Personal - Health & Wellbeing,($107.31),"$7,026.62 "
12/11/19,Purchase Fountain Cafe Alexandria AU,-15.5,Personal - Coffee,($15.50),"$7,133.93 "
10/11/19,Purchase Fredas Chippendale NSW,-8.63,Personal - Drinking Out,($8.63),"$7,149.43 "
9/11/19,Purchase The Regent Redfern Redfern AU,-22.0,Personal - Alcohol,($22.00),"$7,158.06 "
9/11/19,ATM withdrawal WESTPACREDFERN OS REDFERN 2 AU,-200.0,Personal - Cash Out,($200.00),"$7,180.06 "
8/11/19,Purchase COPPOLA PIZZA REFERN AU,-116.0,Personal - Entertainment,($116.00),"$7,380.06 "
8/11/19,Purchase ABDULS RESTAURANT SURRY HILLS NSW,-11.5,Personal - Lunch,($11.50),"$7,496.06 "
8/11/19,Purchase TICKETEK PTY LTD WEB SYDNEY,-165.2,Personal - Entertainment,($165.20),"$7,507.56 "
7/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-68.78,Personal - Groceries,($68.78),"$7,672.76 "
7/11/19,Purchase The Strand Hotel Darlinghurst NSW,-12.0,Personal - Lunch,($12.00),"$7,741.54 "
7/11/19,Purchase The Strand Hotel Darlinghurst NSW,-36.0,Expense - Meeting,($36.00),"$7,753.54 "
6/11/19,Purchase PAYPAL *bandtshirts-co 4029357733 AUS,-50.25,Personal,($50.25),"$7,789.54 "
6/11/19,Purchase CONCIERGE CAR WASH BROADWAY,-150.0,Personal - Family,($150.00),"$7,839.79 "
4/11/19,Purchase PAYPAL *MICROSOFT OFFI 4029357733 AUS,-13.0,Expense - Subscriptions & Software Licences,($13.00),"$7,989.79 "
4/11/19,Purchase PAYPAL *PORTMANS 4029357733 AUS,-202.38,Personal - Skye,($202.38),"$8,002.79 "
4/11/19,Purchase ALDI STORES - WATERLOO WATERLOO,-222.09,Personal - Groceries,($222.09),"$8,205.17 "
3/11/19,Purchase WOOLWORTHS 1474 REDFERN AU,-28.0,Personal - Groceries,($28.00),"$8,427.26 "
3/11/19,Purchase Copo Cafe Diner Drummoyne AU,-103.0,Personal - Jane,($103.00),"$8,455.26 "
3/11/19,Purchase FAT RABBIT PTY LTD SURRY HILLS,-19.59,Personal - Skye,($19.59),"$8,558.26 "
3/11/19,Purchase The Lansdowne Hotel Chippendale AU,-10.15,Personal - Drinking Out,($10.15),"$8,577.85 "
2/11/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-6.98,Personal - Groceries,($6.98),"$8,588.00 "
2/11/19,Purchase KMART 1155 BROADWAY AUS,-138.25,Personal - Family,($138.25),"$8,594.98 "
1/11/19,Direct debit to SDN Redfern Chil,-1082.5,Personal - Childcare,"($1,082.50)","$8,733.23 "
1/11/19,Direct credit from HEALEY WARD SHW mortgage,1500.0,Account Transfer (In),"$1,500.00 ","$9,815.73 "
1/11/19,ATM withdrawal ST.GEORDARLINGHURST BCH 3SYDNEY 2 AU,-200.0,Personal - Cash Out,($200.00),"$8,315.73 "
1/11/19,Purchase CAMP AUSTRALIA PTY LTD GLEN IRIS VIC,-421.15,Personal - Childcare,($421.15),"$8,515.73 "
1/11/19,Transfer to Guangcai Zhang BSB 062184 Account 010158136 RCPT: 3X7TFFKS4ZWFH4MK 48 Douglas st redfern,-160.0,Expense - Cleaners,($160.00),"$8,936.88 "
31/10/19,Purchase ABDULS RESTAURANT SURRY HILLS AU,-11.5,Personal - Lunch,($11.50),"$9,096.88 "
31/10/19,Purchase SAWA FOOD DARLINGHURST NSW,-14.0,Personal - Lunch,($14.00),"$9,108.38 "
30/10/19,Purchase SAH NEWTOWN PTY LTD Erskineville AU,-640.0,Personal - Reuben,($640.00),"$9,122.38 "
30/10/19,Purchase EZI*NCIE Fitness Ctr Redfern NSW,-107.31,Personal - Health & Wellbeing,($107.31),"$9,762.38 "
29/10/19,Purchase WOOLWORTHS 1474 REDFERN AU,-46.59,Personal - Groceries,($46.59),"$9,869.69 "
29/10/19,Purchase WOOLWORTHS 1474 REDFERN NSW,-5.0,Personal - Groceries,($5.00),"$9,916.28 "
28/10/19,Purchase LEICHHARDT PARK AQUA LEICHHARDT,-19.95,Personal - Jane,($19.95),"$9,921.28 "
28/10/19,Purchase THE TUDOR REDFERN QPS REDFERN,-33.0,Personal - Drinking Out,($33.00),"$9,941.23 "
28/10/19,Purchase THE TUDOR REDFERN QPS REDFERN,-22.0,Personal - Drinking Out,($22.00),"$9,974.23 "
28/10/19,Purchase THE TUDOR REDFERN QPS REDFERN,-33.8,Personal - Drinking Out,($33.80),"$9,996.23 "
28/10/19,Purchase BART JR Redfern NSW,-15.0,Personal - Skye,($15.00),"$10,030.03 "
28/10/19,Purchase BART JR Redfern NSW,-12.5,Personal - Skye,($12.50),"$10,045.03 "
